ano_lançamento;titulo_obra;genero;pais_produtor_obra;nacionalidade_obra;data_lançamento;distribuidora;salas_lançamento;maximo_salas_ocupadas;publico_acumulado;renda_acumulada
2015;The Opera House: La Boheme;Vídeomusical;Inglaterra;Estrangeiros;10/09/2015;Cinemark Brasil;30;30;1121;34504
2015;Guillaume Tell;Vídeomusical;Inglaterra;Estrangeiros;24/09/2015;Cinemark Brasil;30;30;906;27106.5
2016;A Senhora da Van;Ficção;Reino Unido;Estrangeiros;07/04/2016;Sony;30;30;42967;689168.74
2016;Marguerite;Ficção;Bélgica, França, República Tcheca;Estrangeiros;23/06/2016;Alphaville Filmes;30;30;34979;481210.02
2016;Satânico;Ficção;Estados Unidos;Estrangeiros;27/10/2016;Fênix Filmes;30;30;8087;83635.34
2016;Barbie e as Agentes Secretas;Animação;Estados Unidos;Estrangeiros;07/04/2016;Cinépolis;30;30;2572;32321
2017;De canção em canção;Ficção;Estados Unidos;Estrangeiros;20/07/2017;Supo Mungam Films;30;30;21643;342793.25
2017;Corpo elétrico;Ficção;Brasil;Brasileiros;17/08/2017;Vitrine Filmes;30;30;20015;237677.41
2017;Redemoinho;Ficção;Brasil;Brasileiros;09/02/2017;Vitrine Filmes;30;30;12115;143334.2
2017;A cidade onde envelheço;Ficção;Portugal, Brasil;Brasileiros;09/02/2017;Vitrine Filmes;30;30;9078;70279.3
2017;A Glória e a Graça;Ficção;Brasil;Brasileiros;30/03/2017;H2O Films;30;30;5403;81674.69
2009;Herbert de Perto;Documentário;Brasil;Brasileiros;09/10/2009;Imagem;29;29;27408;240544.49
2009;Cine Cocoricó: As Aventuras na Cidade;Ficção;Brasil;Brasileiros;17/07/2009;Moviemobz;29;29;22565;175249.03
2010;Tudo pode dar certo;Ficção;Estados Unidos;Estrangeiros;30/05/2010;Califórnia;29;29;265044;2859902.98
2010;Brilho de uma Paixão;Ficção;Austrália, França, Reino Unido;Estrangeiros;25/06/2010;Playarte;29;29;84205;764978.04
2010;Direito de Amar;Ficção;Estados Unidos;Estrangeiros;05/03/2010;Paris;29;29;59187;550757.31
2010;Sonhos roubados;Ficção;Brasil;Brasileiros;23/04/2010;Europa;29;29;28594;199563.08
2012;Diário de um Jornalista Bêbado;Ficção;Estados Unidos;Estrangeiros;20/04/2012;Vinny filmes;29;29;74257;879855.97
2012;Bel Ami;Ficção;Itália, Reino Unido;Estrangeiros;03/08/2012;Califórnia;29;29;21112;229501.97
2013;Lovelace;Ficção;Estados Unidos;Estrangeiros;13/09/2013;Paris;29;29;11863;152873.48
2014;O Lobo Atrás da Porta;Ficção;Brasil;Brasileiros;05/06/2014;Imagem;29;29;26710;346178.94
2014;Uma Longa Viagem (2014);Ficção;Austrália;Estrangeiros;19/12/2014;Califórnia;29;29;22389;348159.4
2015;Labirinto de Mentiras;Ficção;Alemanha;Estrangeiros;17/12/2015;Alphaville Filmes;29;29;33589;466498.16
2015;Sobre Amigos, Amor e Vinho;Ficção;França;Estrangeiros;13/08/2015;Tucumán;29;29;33068;448465.48
2015;O Dançarino do Deserto;Ficção;Reino Unido;Estrangeiros;16/04/2015;Paris;29;29;13411;205657.73
2016;Elle;Ficção;França, Alemanha;Estrangeiros;17/11/2016;Sony;29;29;55598;827580.58
2016;Agnus Dei;Ficção;França, Polônia;Estrangeiros;14/07/2016;Alphaville Filmes;29;29;46692;611177.48
2016;O que eu fiz para merecer isso?;Ficção;França;Estrangeiros;28/04/2016;Alphaville Filmes;29;29;10864;155223.03
2016;A Incrível Jornada de Jacqueline;Ficção;França;Estrangeiros;28/07/2016;Paris;29;29;9801;144598.22
2016;Vidas Partidas;Ficção;Brasil;Brasileiros;04/08/2016;Europa;29;29;5857;79485.81
2017;Eu, Daniel Blake;Ficção;Bélgica, França, Reino Unido;Estrangeiros;05/01/2017;Imovision;29;29;106034;1585820.3
2017;Perdidos em Paris;Ficção;Bélgica, França;Estrangeiros;06/07/2017;Pandora;29;29;48811;720478.93
2017;Rodin;Ficção;Bélgica, França;Estrangeiros;21/09/2017;Alphaville Filmes;29;29;14915;227538.42
2017;Assim é a vida;Ficção;França;Estrangeiros;21/12/2017;Paris;29;29;13082;212719.57
2017;Borg vs McEnroe;Ficção;Dinamarca, Finlândia, Suécia;Estrangeiros;09/11/2017;Supo Mungam Films;29;29;7494;136824.43
2017;Martírio;Documentário;Brasil;Brasileiros;13/04/2017;Vitrine Filmes;29;29;6396;48396.18
2017;Jonas e o Circo sem Lona;Documentário;Brasil;Brasileiros;16/03/2017;Vitrine Filmes;29;29;2524;17391.22
2017;Elon não acredita na morte;Ficção;Brasil;Brasileiros;27/04/2017;Vitrine Filmes;29;29;2207;15553.84
2009;Home - Nosso Planeta, nossa Casa;Documentário;França;Estrangeiros;05/06/2009;Europa;28;28;4931;37514.76
2011;O retrato de Dorian Gray;Ficção;Reino Unido;Estrangeiros;25/03/2011;Europa;28;28;58046;564888.61
2011;Reino dos Felinos;Documentário;Estados Unidos;Estrangeiros;26/08/2011;Disney;28;28;11760;87180.5
2013;Vazio Coração;Ficção;Brasil;Brasileiros;22/11/2013;Califórnia;28;28;2479;27563.59
2017;A guerra dos sexos;Ficção;Estados Unidos, Reino Unido;Estrangeiros;19/10/2017;Fox;28;28;16301;335788
2017;Personal Shopper;Ficção;Alemanha, França;Estrangeiros;09/03/2017;Imovision;28;28;14788;210697.7
2017;Waiting for B.;Documentário;Brasil;Brasileiros;02/03/2017;Vitrine Filmes;28;28;1774;11383.44
2017;Taego Ãwa;Documentário;Brasil;Brasileiros;11/05/2017;Vitrine Filmes;28;28;1649;9682.58
2009;Os Falsários;Ficção;Alemanha, Áustria;Estrangeiros;29/05/2009;Europa;27;27;54665;516789.07
2010;Cheri;Ficção;Estados Unidos;Estrangeiros;22/01/2010;Califórnia;27;27;41639;409503.99
2011;As doze estrelas;Ficção;Brasil;Brasileiros;13/05/2011;Polifilmes/Lapfilme;27;27;3469;32011.56
2013;A datilografa;Ficção;Bélgica, França;Estrangeiros;24/05/2013;Paris;27;27;28211;339972.78
2013;A parte dos anjos;Ficção;Bélgica, França, Itália, Reino Unido;Estrangeiros;08/03/2013;Imovision;27;27;24861;302179.18
2015;Acima das Nuvens;Ficção;França;Estrangeiros;08/01/2015;Califórnia;27;27;45665;626740.28
2015;Beira Mar;Ficção;Brasil;Brasileiros;05/11/2015;Vitrine Filmes;27;27;11206;141932.14
2015;Segunda Chance;Ficção;Dinamarca;Estrangeiros;04/06/2015;Califórnia;27;27;11145;179386.85
2015;Permanência;Ficção;Brasil;Brasileiros;28/05/2015;Vitrine Filmes;27;27;11115;102319.36
2016;Um Amor à Altura;Ficção;França;Estrangeiros;04/08/2016;Califórnia;27;27;6098;92812.94
2017;Negação;Ficção;Estados Unidos, Reino Unido;Estrangeiros;09/03/2017;Sony;27;27;17580;300941.8
2017;Pendular;Ficção;Argentina, Brasil, França;Brasileiros;21/09/2017;Vitrine Filmes;27;27;7735;93723.56
2017;Em busca de Fellini;Ficção;Estados Unidos;Estrangeiros;07/12/2017;Cineart Filmes;27;27;5602;82682.6
2017;Os Pobres Diabos;Ficção;Brasil;Brasileiros;06/07/2017;Lume;27;27;4693;53406.35
2017;Filhos de Bach;Ficção;Alemanha, Brasil;Brasileiros;08/06/2017;Disney;27;27;3337;52203
2009;Diário Proibido;Ficção;Espanha;Estrangeiros;25/09/2009;Playarte;26;26;14371;121923.48
2010;O segredo dos seus olhos;Ficção;Argentina, Espanha;Estrangeiros;26/02/2010;Europa;26;26;328219;3274907.01
2012;Selvagens;Ficção;Estados Unidos;Estrangeiros;05/10/2012;Universal;26;26;37317;433277
2012;Boca;Ficção;Brasil;Brasileiros;28/09/2012;Vinny filmes;26;26;11959;125472.38
2015;Terra de Maria;Documentário;Espanha;Estrangeiros;12/10/2015;Cinemark Brasil;26;26;68838;980900.5
2015;Adeus à Linguagem;Ficção;França;Estrangeiros;30/07/2015;Imovision;26;26;27284;501593.89
2015;Amy;Documentário;Inglaterra;Estrangeiros;26/09/2015;Universal Music Brasil;26;26;20787;423926.66
