left;top;botton;rigth
405;165;305;205
405;170;305;210
405;175;305;215
405;180;305;220
405;185;305;225
405;190;305;230
405;195;305;235
405;200;305;240
405;205;305;245
405;215;305;255
405;220;305;260
405;225;305;265
405;230;305;270
405;235;305;275
405;240;305;280
405;245;305;285
405;250;305;290
405;255;305;295
405;260;305;300
405;270;305;310
405;275;305;315
405;280;305;320
405;285;305;325
405;290;305;330
405;295;305;335
405;295;305;340
405;295;305;345
405;295;310;350
405;295;315;355
405;295;320;360
405;295;325;365
405;295;335;375
405;295;340;380
405;295;345;385
405;295;350;390
405;295;365;395
410;295;370;395
415;295;375;395
420;295;380;395
425;295;385;395
430;295;390;395
435;295;395;395
440;295;400;395
445;295;405;395
450;295;410;395
455;295;415;395
460;295;420;395
465;295;425;395
470;295;430;395
475;295;435;395
480;295;440;395
485;295;445;395
620;295;450;395
625;295;445;395
630;295;440;395
635;295;435;395
640;295;430;395
645;295;425;395
650;295;420;395
655;295;415;395
660;295;410;395
665;295;405;395
670;295;400;395
680;295;390;395
685;295;385;395
690;295;380;395
695;295;375;395
700;295;370;395
705;295;365;395
710;295;360;395
715;295;355;395
720;295;350;395
725;295;345;395
730;295;340;395
725;295;335;395
720;295;330;395
715;295;325;395
710;295;320;395
705;295;315;395
700;295;310;395
685;295;305;395
680;290;305;395
675;285;305;395
670;280;305;395
660;270;305;395
655;265;305;395
650;260;305;395
645;255;305;395
640;250;305;395
635;245;305;395
630;240;305;395
625;235;305;395
620;230;305;395
615;225;305;395
610;220;305;395
605;215;305;395
600;210;305;395
595;205;305;395
590;200;305;395
585;195;305;395
580;190;305;395
575;185;305;395
570;180;305;395
565;175;305;395
560;170;305;395
555;165;305;395
