Ano;Pos.;Clubes;Vitorias;Empates;Derrotas;GolsF/S;Saldo;Qtd_Jogadores;Idade_Media;Estrangeiros;Valor_total;Media_Valor
2009;1;Flamengo;19;10;9;58:44:00;14;35;23,3;4;50400000;1440000
2009;16;Fluminense;11;13;14;49:56:00;-7;36;22,3;1;49050000;1360000
2009;9;Goias;15;10;13;64:65;-1;36;23,7;0;12600000;350000
2009;8;Gremio;15;10;13;67:46:00;21;34;23,3;4;28700000;844000
2009;2;Internacional;19;8;11;65:44:00;21;31;24,5;4;29200000;942000
2009;19;Nautico;10;8;20;48:71;-23;33;24,1;2;15250000;462000
2009;5;Palmeiras;17;11;10;58:45:00;13;34;23;2;30550000;899000
2009;11;Prudente;12;13;13;59:52:00;7;35;24,5;1;2350000;67000
2009;18;Santo Andre;11;8;19;46:61;-15;43;25,1;3;6230000;145000
2009;12;Santos;12;13;13;58:58:00;0;33;23,9;1;27850000;844000
2009;3;Sao Paulo;18;11;9;57:42:00;15;30;23,9;1;46650000;1560000
2009;20;Sport;7;10;21;48:71;-23;30;25;1;15600000;520000
2009;13;Vitoria;13;9;16;51:57:00;-6;38;24,1;2;13450000;354000
